FREQUENT ITEMSET =====>  OCCORRENZE
('"2', '10', 'limit!', 'matt')  ========>  14
('!!', 'limit!', 'love', 'matt')  ========>  14
(':)', 'idol', 'life', 'queen')  ========>  9
('away?', 'follow', 'knowing?', 'love')  ========>  13
('follow', 'know,', 'love', 'person')  ========>  13
('humidity', 'mph', 'temperature', 'today')  ========>  10
('dreams,', 'follow', 'happy', 'year,')  ========>  25
('#getgarytonoonooswedding', 'days', 'make', 'tweeted')  ========>  8
('#viña2015', 'la):', 'merese', '👉abraham')  ========>  18
('!!', 'letters', 'love', 'matt')  ========>  14
('estar', 'http://t.co/8tttpri3ag', 'la', 'la):')  ========>  18
year  ========>  38
('humbly', 'idol', 'killing', 'stealing')  ========>  19
glad  ========>  11
('days', 'make', 'relentlessly', 'tweeted')  ========>  8
(':)', 'life', 'me♥', 'queen')  ========>  9
('#getgarytonoonooswedding', 'days', 'relentlessly', 'tweeted')  ========>  8
('away?', 'follow', 'me?', 'miles')  ========>  13
('@justinbieber', 'know,', 'knowing?', 'u.')  ========>  13
('know,', 'miles', 'u.', '♥♥♥♥how')  ========>  13
('en', 'http://t.co/8tttpri3ag', 'la', 'mateo')  ========>  18
left  ========>  17
('http://t.co/8tttpri3ag', 'mateo', 'merese', '👉abraham')  ========>  18
('follow', 'love', 'miles', 'u.')  ========>  13
('follow', 'happy', 'https://t.co/1bds2lfusd', 'year,')  ========>  25
('song!', 'support', 'year,', 'yourself!')  ========>  25
('dreams,', 'https://t.co/1bds2lfusd', 'song!', 'support')  ========>  25
('nelsoncarvalheiro', 'retweet', 'vote', 'world')  ========>  28
live  ========>  18
('"2', 'hunter".', 'love', 'words')  ========>  14
('#getgarytonoonooswedding', 'harassed', 'make', 'relentlessly')  ========>  8
home  ========>  36
('@justinbieber', 'away?', 'knowing?', 'miles')  ========>  13
('!!', '"2', 'limit!', 'matt')  ========>  14
('away?', 'love', 'miles', 'person')  ========>  13
('away?', 'knowing?', 'me?', 'person')  ========>  13
part  ========>  17
('#viña2015', 'girls', 'http://t.co/8tttpri3ag', 'merese')  ========>  18
game  ========>  26
('dreams,', 'follow', 'https://t.co/1bds2lfusd', 'year,')  ========>  25
('(la', 'estar', 'girls', 'http://t.co/8tttpri3ag')  ========>  18
('@real_liam_payne', 'idol', 'killing', 'stealing')  ========>  19
('away?', 'know,', 'love', 'miles')  ========>  13
show  ========>  23
('@justinbieber', 'know,', 'u.', '♥♥♥♥how')  ========>  13
(":'(", '@justinbieber', 'follow', '♡')  ========>  8
page  ========>  12
('@justinbieber', 'follow', 'love', 'me?')  ========>  13
('humidity', 'mm.', 'rain', 'wind')  ========>  9
('!!', 'letters', 'limit!', 'matt')  ========>  14
('in.', 'mph', 'rain', 'wind')  ========>  7
('#viña2015', '(la', 'girls', 'merese')  ========>  18
wake  ========>  13
('10', 'hunter".', 'letters', 'words')  ========>  14
('in.', 'mph', 'today', 'wind')  ========>  7
('(la', 'la', 'mateo', 'merese')  ========>  18
('cashback', 'flat', 'jabong,12.5%on', 'of10.5%on')  ========>  14
('"2', '@matthunter123', 'feeling:', 'limit!')  ========>  14
('@justinbieber', 'follow', 'person', '♥♥♥♥how')  ========>  13
('barometer', 'in.', 'mph', 'today')  ========>  7
('heavy**', 'indian', 'review', 'vendor')  ========>  12
('#viña2015', 'girls', 'http://t.co/8tttpri3ag', 'la):')  ========>  18
('retweet', 'travelblogger', 'vote', 'world')  ========>  28
('!!', 'hunter".', 'limit!', 'love')  ========>  14
('#viña2015', 'http://t.co/8tttpri3ag', 'merese', '👉abraham')  ========>  18
hate  ========>  48
('!!', '"2', 'hunter".', 'love')  ========>  14
('@justinbieber', 'follow', 'u.', '♥♥♥♥how')  ========>  13
('hpa,', 'humidity', 'temperature', 'today')  ========>  7
('"2', '@matthunter123', 'limit!', 'words')  ========>  14
('(la', 'estar', 'merese', '👉abraham')  ========>  18
('humidity', 'mph', 'today', 'wind')  ========>  11
('2015', 'retweet', 'vote', 'world')  ========>  28
('humidity', 'rain', 'today', '°c.')  ========>  8
('#3', 'days', 'harassed', 'relentlessly')  ========>  8
('idol', 'killing', 'stealing', 'ta')  ========>  19
('!!', '10', 'hunter".', 'letters')  ========>  14
('"2', '10', '@matthunter123', 'hunter".')  ========>  14
('@justinbieber', 'away?', 'person', '♥♥♥♥how')  ========>  13
save  ========>  9
('@justinbieber', 'knowing?', 'miles', 'u.')  ========>  13
('#viña2015', '(la', 'mateo', '👉abraham')  ========>  18
('away?', 'knowing?', 'me?', '♥♥♥♥how')  ========>  13
('barometer', 'temperature', 'today', 'wind')  ========>  16
('#viña2015', 'en', 'girls', 'http://t.co/8tttpri3ag')  ========>  18
('barometer', 'hpa,', 'temperature', 'wind')  ========>  7
('en', 'http://t.co/8tttpri3ag', 'la):', 'mateo')  ========>  18
('@justinbieber', 'know,', 'person', 'u.')  ========>  13
('#3', '@garybarlow', 'harassed', 'tweeted')  ========>  8
('follow', 'life', 'me♥', 'queen')  ========>  9
('10', 'feeling:', 'letters', 'matt')  ========>  14
('(la', 'en', 'girls', '👉abraham')  ========>  18
('follow', 'idol', 'life', 'love')  ========>  9
('@garybarlow', 'harassed', 'relentlessly', 'tweeted')  ========>  8
('"2', 'feeling:', 'hunter".', 'love')  ========>  14
('idol', 'life', 'love', 'me♥')  ========>  9
('!!', '10', 'feeling:', 'matt')  ========>  14
('10', 'feeling:', 'limit!', 'matt')  ========>  14
('"2', 'feeling:', 'matt', 'words')  ========>  14
('!!', 'limit!', 'love', 'words')  ========>  14
('estar', 'girls', 'la', 'merese')  ========>  18
('#3', '#getgarytonoonooswedding', '@garybarlow', 'tweeted')  ========>  8
('!!', '"2', 'hunter".', 'limit!')  ========>  14
('!!', 'feeling:', 'letters', 'limit!')  ========>  14
('happy', 'https://t.co/1bds2lfusd', 'support', 'yourself!')  ========>  25
('fitur', 'retweet', 'travelblogger', 'vote')  ========>  28
('knowing?', 'love', 'u.', '♥♥♥♥how')  ========>  13
('follow', 'knowing?', 'love', 'me?')  ========>  13
('10', 'feeling:', 'love', 'matt')  ========>  14
('@justinbieber', 'away?', 'know,', 'person')  ========>  13
('en', 'estar', 'la', '👉abraham')  ========>  18
cute  ========>  16
('barometer', 'in.', 'rain', 'wind')  ========>  7
('#viña2015', 'girls', 'la', 'merese')  ========>  18
('#3', '#getgarytonoonooswedding', 'days', 'make')  ========>  8
('!!', '10', 'hunter".', 'love')  ========>  14
('"2', 'feeling:', 'love', 'matt')  ========>  14
('2015', '@feriafitur', 'fitur', 'nelsoncarvalheiro')  ========>  28
('en', 'http://t.co/8tttpri3ag', 'la):', '👉abraham')  ========>  18
face  ========>  12
('@garybarlow', 'make', 'relentlessly', 'tweeted')  ========>  8
('follow', 'know,', 'miles', 'u.')  ========>  13
talk  ========>  20
('#viña2015', '(la', 'girls', 'la):')  ========>  18
('#3', 'harassed', 'make', 'relentlessly')  ========>  8
('"2', '@matthunter123', 'limit!', 'matt')  ========>  14
('@justinbieber', 'love', 'miles', '♥♥♥♥how')  ========>  13
('fitur', 'nelsoncarvalheiro', 'retweet', 'travelblogger')  ========>  28
('la):', 'mateo', 'merese', '👉abraham')  ========>  18
('girls', 'la', 'la):', '👉abraham')  ========>  18
('know,', 'me?', 'person', 'u.')  ========>  13
('barometer', 'mph', 'rain', 'wind')  ========>  10
('"2', 'feeling:', 'love', 'words')  ========>  14
('estar', 'http://t.co/8tttpri3ag', 'mateo', '👉abraham')  ========>  18
('"2', '@matthunter123', 'limit!', 'love')  ========>  14
('#viña2015', 'en', 'estar', 'la')  ========>  18
('away?', 'love', 'me?', 'u.')  ========>  13
('follow', 'know,', 'u.', '♥♥♥♥how')  ========>  13
(':)', '@madisonellebeer', 'follow', 'me♥')  ========>  9
('follow', 'love', 'miles', '♥♥♥♥how')  ========>  13
('barometer', 'mm.', 'rain', 'today')  ========>  9
(':)', 'follow', 'love', 'queen')  ========>  9
('@real_liam_payne', 'humbly', 'stealing', 'ta')  ========>  19
('away?', 'follow', 'know,', 'miles')  ========>  13
('2015', 'fitur', 'travelblogger', 'vote')  ========>  28
('barometer', 'hpa,', 'today', 'wind')  ========>  7
('barometer', 'temperature', 'wind', '°c.')  ========>  8
('2015', 'fitur', 'travelblogger', 'world')  ========>  28
('#viña2015', '(la', 'la):', 'mateo')  ========>  18
('2015', '@feriafitur', 'nelsoncarvalheiro', 'travelblogger')  ========>  28
('10', 'feeling:', 'hunter".', 'matt')  ========>  14
('girls', 'http://t.co/8tttpri3ag', 'la):', 'mateo')  ========>  18
('@justinbieber', 'love', 'u.', '♥♥♥♥how')  ========>  13
('letters', 'love', 'matt', 'words')  ========>  14
('away?', 'follow', 'person', 'u.')  ========>  13
('humidity', 'rain', 'today', 'wind')  ========>  16
('!!', '@matthunter123', 'letters', 'words')  ========>  14
('love', 'me?', 'miles', '♥♥♥♥how')  ========>  13
('en', 'http://t.co/8tttpri3ag', 'la):', 'merese')  ========>  18
('#viña2015', '(la', 'en', 'la):')  ========>  18
('away?', 'know,', 'knowing?', 'me?')  ========>  13
('#3', '#getgarytonoonooswedding', 'relentlessly', 'tweeted')  ========>  8
('!!', '10', 'hunter".', 'limit!')  ========>  14
('#viña2015', '(la', 'la):', 'merese')  ========>  18
back  ========>  70
('days', 'harassed', 'relentlessly', 'tweeted')  ========>  8
('follow', 'happy', 'https://t.co/1bds2lfusd', 'song!')  ========>  25
('hpa,', 'humidity', 'temperature', 'wind')  ========>  7
('#viña2015', 'girls', 'la', 'la):')  ========>  18
('#viña2015', 'estar', 'girls', 'http://t.co/8tttpri3ag')  ========>  18
('@justinbieber', 'follow', 'know,', 'miles')  ========>  13
('@justinbieber', 'follow', 'me?', 'u.')  ========>  13
(':)', 'follow', 'life', 'me♥')  ========>  9
('#3', 'days', 'harassed', 'tweeted')  ========>  8
('en', 'estar', 'http://t.co/8tttpri3ag', 'merese')  ========>  18
('https://t.co/1bds2lfusd', 'song!', 'year,', 'yourself!')  ========>  25
time  ========>  78
('#getgarytonoonooswedding', '@garybarlow', 'harassed', 'relentlessly')  ========>  8
('"2', 'letters', 'limit!', 'words')  ========>  14
make  ========>  88
('@justinbieber', 'know,', 'me?', 'miles')  ========>  13
('girls', 'la', 'la):', 'merese')  ========>  18
('follow', 'knowing?', 'me?', '♥♥♥♥how')  ========>  13
('"2', '10', '@matthunter123', 'love')  ========>  14
('mm.', 'rain', 'temperature', 'today')  ========>  9
('estar', 'la', 'la):', 'merese')  ========>  18
('fitur', 'nelsoncarvalheiro', 'vote', 'world')  ========>  28
('follow', 'knowing?', 'person', '♥♥♥♥how')  ========>  13
('away?', 'know,', 'knowing?', 'love')  ========>  13
('#viña2015', 'estar', 'mateo', 'merese')  ========>  18
('@justinbieber', 'know,', 'me?', 'person')  ========>  13
hear  ========>  9
('follow', 'love', 'me?', 'miles')  ========>  13
you,  ========>  14
('(la', 'en', 'http://t.co/8tttpri3ag', 'la):')  ========>  18
('away?', 'knowing?', 'me?', 'u.')  ========>  13
('!!', '"2', '10', 'love')  ========>  14
('girls', 'http://t.co/8tttpri3ag', 'la):', 'merese')  ========>  18
('"2', 'hunter".', 'limit!', 'words')  ========>  14
('follow', 'https://t.co/1bds2lfusd', 'year,', 'yourself!')  ========>  25
('@justinbieber', 'follow', 'know,', '♥♥♥♥how')  ========>  13
('(la', 'estar', 'la', '👉abraham')  ========>  18
('2015', '@feriafitur', 'travelblogger', 'world')  ========>  28
('follow', 'knowing?', 'person', 'u.')  ========>  13
('!!', '10', 'letters', 'matt')  ========>  14
('dreams,', 'happy', 'year,', 'yourself!')  ========>  25
('2015', 'fitur', 'retweet', 'vote')  ========>  28
('@real_liam_payne', 'notice', 'stealing', 'ta')  ========>  19
('!!', '10', 'limit!', 'words')  ========>  14
('@justinbieber', 'know,', 'me?', '♥♥♥♥how')  ========>  13
ugly  ========>  8
('knowing?', 'love', 'me?', 'u.')  ========>  13
('en', 'girls', 'http://t.co/8tttpri3ag', 'la):')  ========>  18
('@madisonellebeer', 'idol', 'life', 'me♥')  ========>  9
('mm.', 'rain', 'temperature', 'wind')  ========>  9
days  ========>  25
('#viña2015', 'http://t.co/8tttpri3ag', 'la', 'la):')  ========>  18
('humidity', 'mph', 'rain', 'today')  ========>  10
('**pic', 'heavy**', 'review', 'vendor')  ========>  12
('away?', 'know,', 'me?', 'u.')  ========>  13
('"2', 'love', 'matt', 'words')  ========>  14
('#getgarytonoonooswedding', '@garybarlow', 'days', 'harassed')  ========>  8
day.  ========>  10
('barometer', 'in.', 'mph', 'rain')  ========>  7
('girls', 'http://t.co/8tttpri3ag', 'la', 'la):')  ========>  18
('@justinbieber', 'knowing?', 'me?', 'u.')  ========>  13
('10', '@matthunter123', 'hunter".', 'limit!')  ========>  14
('(la', 'http://t.co/8tttpri3ag', 'la', 'la):')  ========>  18
('(la', 'estar', 'girls', 'merese')  ========>  18
('knowing?', 'love', 'me?', '♥♥♥♥how')  ========>  13
('en', 'girls', 'http://t.co/8tttpri3ag', '👉abraham')  ========>  18
('!!', '"2', 'hunter".', 'letters')  ========>  14
('@matthunter123', 'feeling:', 'hunter".', 'love')  ========>  14
('"2', '10', 'limit!', 'words')  ========>  14
('10', '@matthunter123', 'limit!', 'love')  ========>  14
('#viña2015', 'http://t.co/8tttpri3ag', 'mateo', 'merese')  ========>  18
('@matthunter123', 'letters', 'matt', 'words')  ========>  14
('@matthunter123', 'feeling:', 'hunter".', 'matt')  ========>  14
('@justinbieber', 'knowing?', 'me?', 'miles')  ========>  13
('(la', 'girls', 'la):', '👉abraham')  ========>  18
city  ========>  14
('life', 'love', 'me♥', 'queen')  ========>  9
('away?', 'knowing?', 'person', 'u.')  ========>  13
('!!', '@matthunter123', 'feeling:', 'limit!')  ========>  14
('(la', 'http://t.co/8tttpri3ag', 'la', '👉abraham')  ========>  18
('love', 'miles', 'u.', '♥♥♥♥how')  ========>  13
('en', 'http://t.co/8tttpri3ag', 'la', '👉abraham')  ========>  18
('know,', 'love', 'miles', '♥♥♥♥how')  ========>  13
('#3', '@garybarlow', 'make', 'relentlessly')  ========>  8
('letters', 'limit!', 'matt', 'words')  ========>  14
('follow', 'know,', 'me?', 'person')  ========>  13
('10', 'hunter".', 'limit!', 'love')  ========>  14
('@justinbieber', 'away?', 'follow', 'u.')  ========>  13
('hunter".', 'letters', 'love', 'matt')  ========>  14
('estar', 'girls', 'http://t.co/8tttpri3ag', 'merese')  ========>  18
kill  ========>  15
('#viña2015', '(la', 'en', 'girls')  ========>  18
('#viña2015', 'en', 'la', '👉abraham')  ========>  18
('follow', 'idol', 'life', 'queen')  ========>  9
('estar', 'http://t.co/8tttpri3ag', 'la', '👉abraham')  ========>  18
('follow', 'knowing?', 'miles', 'person')  ========>  13
('2015', 'nelsoncarvalheiro', 'retweet', 'vote')  ========>  28
food  ========>  11
send  ========>  15
girl  ========>  25
('@matthunter123', 'hunter".', 'letters', 'words')  ========>  14
('#viña2015', 'estar', 'la):', 'mateo')  ========>  18
shop  ========>  13
('know,', 'me?', 'miles', 'u.')  ========>  13
('#3', 'days', 'relentlessly', 'tweeted')  ========>  8
('10', '@matthunter123', 'letters', 'love')  ========>  14
('#viña2015', '(la', 'http://t.co/8tttpri3ag', 'mateo')  ========>  18
('barometer', 'humidity', 'in.', 'today')  ========>  7
('@justinbieber', 'away?', 'know,', '♥♥♥♥how')  ========>  13
('away?', 'follow', 'know,', '♥♥♥♥how')  ========>  13
('(la', 'estar', 'http://t.co/8tttpri3ag', 'la')  ========>  18
('"2', '10', 'love', 'words')  ========>  14
('know,', 'knowing?', 'miles', 'person')  ========>  13
('2015', '@feriafitur', 'fitur', 'retweet')  ========>  28
('@justinbieber', 'know,', 'love', 'miles')  ========>  13
('limit!', 'love', 'matt', 'words')  ========>  14
wait  ========>  23
('knowing?', 'me?', 'person', '♥♥♥♥how')  ========>  13
('know,', 'knowing?', 'love', 'miles')  ========>  13
('!!', 'hunter".', 'love', 'matt')  ========>  14
('en', 'estar', 'girls', 'merese')  ========>  18
('follow', 'miles', 'person', '♥♥♥♥how')  ========>  13
('dreams,', 'happy', 'song!', 'support')  ========>  25
('know,', 'knowing?', 'person', '♥♥♥♥how')  ========>  13
('away?', 'miles', 'u.', '♥♥♥♥how')  ========>  13
('me?', 'miles', 'person', 'u.')  ========>  13
('#3', '#getgarytonoonooswedding', '@garybarlow', 'make')  ========>  8
('10', 'feeling:', 'letters', 'limit!')  ========>  14
('barometer', 'humidity', 'temperature', 'wind')  ========>  16
('@real_liam_payne', 'humbly', 'idol', 'killing')  ========>  19
('happy', 'support', 'year,', 'yourself!')  ========>  25
('away?', 'know,', 'knowing?', 'person')  ========>  13
('@feriafitur', 'fitur', 'retweet', 'world')  ========>  28
('follow', 'love', 'miles', 'person')  ========>  13
rain  ========>  27
too!  ========>  7
('humbly', 'killing', 'notice', 'ta')  ========>  19
('!!', 'feeling:', 'limit!', 'matt')  ========>  14
('!!', '@matthunter123', 'matt', 'words')  ========>  14
move  ========>  8
('feeling:', 'hunter".', 'love', 'matt')  ========>  14
('@justinbieber', 'love', 'me?', 'u.')  ========>  13
('"2', 'feeling:', 'letters', 'matt')  ========>  14
('nelsoncarvalheiro', 'retweet', 'travelblogger', 'world')  ========>  28
('follow', 'knowing?', 'miles', '♥♥♥♥how')  ========>  13
('@feriafitur', 'fitur', 'nelsoncarvalheiro', 'world')  ========>  28
('away?', 'follow', 'know,', 'knowing?')  ========>  13
hurt  ========>  11
you!  ========>  13
('barometer', 'humidity', 'in.', 'mph')  ========>  7
('away?', 'knowing?', 'miles', '♥♥♥♥how')  ========>  13
('humbly', 'notice', 'stealing', 'ta')  ========>  19
('knowing?', 'me?', 'miles', 'u.')  ========>  13
('@real_liam_payne', 'killing', 'notice', 'ta')  ========>  19
('"2', 'feeling:', 'letters', 'limit!')  ========>  14
('idol', 'notice', 'stealing', 'ta')  ========>  19
('!!', '@matthunter123', 'feeling:', 'matt')  ========>  14
('en', 'girls', 'la', 'mateo')  ========>  18
('away?', 'love', 'me?', 'miles')  ========>  13
('"2', 'feeling:', 'hunter".', 'matt')  ========>  14
('@madisonellebeer', 'follow', 'idol', 'queen')  ========>  9
('estar', 'girls', 'la):', 'mateo')  ========>  18
('know,', 'me?', 'miles', 'person')  ========>  13
('@justinbieber', 'love', 'me?', '♥♥♥♥how')  ========>  13
('follow', 'idol', 'love', 'me♥')  ========>  9
('away?', 'follow', 'love', 'person')  ========>  13
('@real_liam_payne', 'humbly', 'notice', 'stealing')  ========>  19
('en', 'http://t.co/8tttpri3ag', 'la', 'la):')  ========>  18
('@justinbieber', 'know,', 'love', 'person')  ========>  13
one.  ========>  7
('dreams,', 'support', 'year,', 'yourself!')  ========>  25
('http://t.co/8tttpri3ag', 'la', 'mateo', '👉abraham')  ========>  18
('away?', 'follow', 'knowing?', 'me?')  ========>  13
('"2', 'feeling:', 'limit!', 'love')  ========>  14
('barometer', 'in.', 'rain', 'temperature')  ========>  7
('dreams,', 'happy', 'song!', 'yourself!')  ========>  25
('estar', 'mateo', 'merese', '👉abraham')  ========>  18
('en', 'girls', 'http://t.co/8tttpri3ag', 'mateo')  ========>  18
(':)', '@madisonellebeer', 'follow', 'idol')  ========>  9
hope  ========>  45
('@justinbieber', 'away?', 'person', 'u.')  ========>  13
('away?', 'miles', 'person', 'u.')  ========>  13
lose  ========>  7
('mph', 'temperature', 'today', 'wind')  ========>  11
('away?', 'follow', 'love', '♥♥♥♥how')  ========>  13
('@justinbieber', 'know,', 'person', '♥♥♥♥how')  ========>  13
('2015', '@feriafitur', 'nelsoncarvalheiro', 'retweet')  ========>  28
('@justinbieber', 'away?', 'follow', 'me?')  ========>  13
('happy', 'song!', 'support', 'year,')  ========>  25
('en', 'estar', 'la):', 'mateo')  ========>  18
('en', 'la', 'la):', 'mateo')  ========>  18
('know,', 'knowing?', 'miles', '♥♥♥♥how')  ========>  13
('@justinbieber', 'follow', 'person', 'u.')  ========>  13
('!!', '@matthunter123', 'letters', 'limit!')  ========>  14
('barometer', 'humidity', 'mm.', 'rain')  ========>  9
('humidity', 'in.', 'mph', 'today')  ========>  7
('!!', '"2', 'feeling:', 'matt')  ========>  14
('barometer', 'rain', 'wind', '°c.')  ========>  8
('girls', 'la', 'mateo', 'merese')  ========>  18
('follow', 'miles', 'u.', '♥♥♥♥how')  ========>  13
('follow', 'love', 'u.', '♥♥♥♥how')  ========>  13
('@real_liam_payne', 'humbly', 'idol', 'notice')  ========>  19
('@justinbieber', 'follow', 'knowing?', 'miles')  ========>  13
('!!', '"2', '@matthunter123', 'limit!')  ========>  14
('happy', 'https://t.co/1bds2lfusd', 'song!', 'support')  ========>  25
give  ========>  38
('humidity', 'mm.', 'rain', 'today')  ========>  9
('follow', 'me?', 'miles', 'u.')  ========>  13
('away?', 'knowing?', 'u.', '♥♥♥♥how')  ========>  13
('@madisonellebeer', 'follow', 'life', 'love')  ========>  9
(':)', '@madisonellebeer', 'life', 'love')  ========>  9
('#viña2015', 'en', 'estar', 'girls')  ========>  18
('@feriafitur', 'fitur', 'travelblogger', 'vote')  ========>  28
('10', 'feeling:', 'limit!', 'love')  ========>  14
('"2', '10', 'hunter".', 'limit!')  ========>  14
('knowing?', 'love', 'me?', 'miles')  ========>  13
('humidity', 'rain', 'temperature', '°c.')  ========>  8
('humidity', 'today', 'wind', '°c.')  ========>  8
('10', 'feeling:', 'letters', 'words')  ========>  14
('@justinbieber', 'follow', 'miles', 'u.')  ========>  13
('in.', 'rain', 'today', 'wind')  ========>  7
('@feriafitur', 'nelsoncarvalheiro', 'retweet', 'travelblogger')  ========>  28
('@justinbieber', 'knowing?', 'person', 'u.')  ========>  13
('@justinbieber', 'love', 'miles', 'u.')  ========>  13
('me?', 'person', 'u.', '♥♥♥♥how')  ========>  13
('away?', 'me?', 'u.', '♥♥♥♥how')  ========>  13
('10', 'limit!', 'love', 'matt')  ========>  14
('away?', 'knowing?', 'love', 'u.')  ========>  13
('!!', '"2', 'letters', 'limit!')  ========>  14
('barometer', 'humidity', 'mm.', '°c.')  ========>  8
('humidity', 'rain', 'temperature', 'today')  ========>  16
('@madisonellebeer', 'follow', 'love', 'me♥')  ========>  9
('#viña2015', 'estar', 'http://t.co/8tttpri3ag', 'merese')  ========>  18
('temperature', 'today', 'wind', '°c.')  ========>  8
('@madisonellebeer', 'life', 'love', 'me♥')  ========>  9
(':)', 'idol', 'life', 'love')  ========>  9
('estar', 'girls', 'http://t.co/8tttpri3ag', '👉abraham')  ========>  18
shit  ========>  39
('follow', 'happy', 'support', 'year,')  ========>  25
('estar', 'girls', 'la', '👉abraham')  ========>  18
('#viña2015', 'en', 'la', 'merese')  ========>  18
('follow', 'knowing?', 'me?', 'u.')  ========>  13
('"2', 'limit!', 'love', 'matt')  ========>  14
('@justinbieber', 'away?', 'follow', '♥♥♥♥how')  ========>  13
('!!', '10', '@matthunter123', 'words')  ========>  14
('!!', '"2', '10', 'limit!')  ========>  14
('humidity', 'in.', 'rain', 'today')  ========>  7
('2015', 'nelsoncarvalheiro', 'retweet', 'world')  ========>  28
('dreams,', 'https://t.co/1bds2lfusd', 'year,', 'yourself!')  ========>  25
('"2', '10', 'hunter".', 'love')  ========>  14
('away?', 'know,', 'love', 'me?')  ========>  13
('humidity', 'mm.', 'today', '°c.')  ========>  8
('@justinbieber', 'away?', 'love', 'me?')  ========>  13
('!!', '"2', '10', 'letters')  ========>  14
('@justinbieber', 'follow', 'love', 'miles')  ========>  13
('humidity', 'mm.', 'temperature', 'wind')  ========>  9
('away?', 'know,', 'knowing?', 'u.')  ========>  13
('@real_liam_payne', 'idol', 'killing', 'ta')  ========>  19
('#viña2015', 'girls', 'la', '👉abraham')  ========>  18
flat  ========>  16
('!!', '10', 'limit!', 'matt')  ========>  14
('#viña2015', 'en', 'mateo', 'merese')  ========>  18
('#viña2015', '(la', 'la', '👉abraham')  ========>  18
('!!', '10', 'love', 'matt')  ========>  14
('estar', 'girls', 'merese', '👉abraham')  ========>  18
('know,', 'love', 'me?', 'person')  ========>  13
('mm.', 'temperature', 'today', 'wind')  ========>  9
('en', 'girls', 'la):', '👉abraham')  ========>  18
('@justinbieber', 'love', 'miles', 'person')  ========>  13
('#viña2015', 'estar', 'girls', 'la):')  ========>  18
('killing', 'notice', 'stealing', 'ta')  ========>  19
sick  ========>  10
('(la', 'estar', 'http://t.co/8tttpri3ag', '👉abraham')  ========>  18
('follow', 'happy', 'song!', 'yourself!')  ========>  25
('!!', 'feeling:', 'hunter".', 'letters')  ========>  14
('http://t.co/8tttpri3ag', 'la', 'mateo', 'merese')  ========>  18
('@garybarlow', 'harassed', 'make', 'relentlessly')  ========>  8
('dreams,', 'follow', 'year,', 'yourself!')  ========>  25
('humidity', 'in.', 'rain', 'wind')  ========>  7
('#viña2015', 'estar', 'http://t.co/8tttpri3ag', '👉abraham')  ========>  18
('(la', 'en', 'la', 'la):')  ========>  18
('know,', 'knowing?', 'love', 'me?')  ========>  13
('in.', 'rain', 'temperature', 'wind')  ========>  7
('know,', 'miles', 'person', '♥♥♥♥how')  ========>  13
('(la', 'girls', 'http://t.co/8tttpri3ag', 'la')  ========>  18
('(la', 'en', 'estar', 'merese')  ========>  18
luck  ========>  10
('idol', 'killing', 'notice', 'stealing')  ========>  19
('estar', 'http://t.co/8tttpri3ag', 'la):', 'merese')  ========>  18
('estar', 'girls', 'http://t.co/8tttpri3ag', 'mateo')  ========>  18
('(la', 'estar', 'la', 'mateo')  ========>  18
('love', 'me?', 'person', 'u.')  ========>  13
deal  ========>  11
('feeling:', 'love', 'matt', 'words')  ========>  14
('#viña2015', '(la', 'en', 'mateo')  ========>  18
('"2', 'hunter".', 'letters', 'matt')  ========>  14
('know,', 'knowing?', 'me?', 'miles')  ========>  13
('follow', 'knowing?', 'love', 'person')  ========>  13
('#viña2015', 'en', 'girls', 'la')  ========>  18
('2015', '@feriafitur', 'retweet', 'vote')  ========>  28
('2015', '@feriafitur', 'fitur', 'world')  ========>  28
('@real_liam_payne', 'humbly', 'killing', 'notice')  ========>  19
('en', 'estar', 'http://t.co/8tttpri3ag', 'mateo')  ========>  18
('girls', 'http://t.co/8tttpri3ag', 'la', 'merese')  ========>  18
('@matthunter123', 'feeling:', 'love', 'matt')  ========>  14
('hunter".', 'letters', 'matt', 'words')  ========>  14
(':)', 'follow', 'idol', 'queen')  ========>  9
('dreams,', 'happy', 'https://t.co/1bds2lfusd', 'yourself!')  ========>  25
('knowing?', 'love', 'miles', '♥♥♥♥how')  ========>  13
('follow', 'knowing?', 'me?', 'person')  ========>  13
('barometer', 'humidity', 'rain', 'temperature')  ========>  16
babe  ========>  15
('(la', 'girls', 'merese', '👉abraham')  ========>  18
('"2', 'hunter".', 'letters', 'limit!')  ========>  14
('#getgarytonoonooswedding', '@garybarlow', 'make', 'tweeted')  ========>  8
('love', 'person', 'u.', '♥♥♥♥how')  ========>  13
('"2', '10', '@matthunter123', 'words')  ========>  14
('en', 'la', 'merese', '👉abraham')  ========>  18
(':)', '@madisonellebeer', 'idol', 'queen')  ========>  9
('en', 'girls', 'http://t.co/8tttpri3ag', 'la')  ========>  18
('@madisonellebeer', 'idol', 'me♥', 'queen')  ========>  9
('(la', 'http://t.co/8tttpri3ag', 'la', 'mateo')  ========>  18
(':)', 'idol', 'me♥', 'queen')  ========>  9
('(la', 'en', 'estar', 'la')  ========>  18
('away?', 'love', 'person', 'u.')  ========>  13
('barometer', 'hpa,', 'rain', 'today')  ========>  7
('me?', 'miles', 'u.', '♥♥♥♥how')  ========>  13
('dreams,', 'song!', 'year,', 'yourself!')  ========>  25
('away?', 'me?', 'person', '♥♥♥♥how')  ========>  13
('days', 'harassed', 'make', 'relentlessly')  ========>  8
('"2', '10', '@matthunter123', 'feeling:')  ========>  14
